dataset,image,method,n_written,MSE,PSNR,SSIM
BOSS,1.bmp,LSB,50184,0.09627151489257812,58.295825551033204,0.9992253770363992
BOSS,1.bmp,ADAPT_GRADIENT,50184,0.09568023681640625,58.32258119307906,0.9998504181474945
BOSS,10.bmp,LSB,50184,0.0954132080078125,58.334718628109414,0.9995099251855343
BOSS,10.bmp,ADAPT_GRADIENT,50184,0.09516143798828125,58.346193648118756,0.999895270283248
BOSS,101.bmp,LSB,50184,0.09557723999023438,58.32725875741076,0.9997116151341765
BOSS,101.bmp,ADAPT_GRADIENT,50184,0.09596633911132812,58.30961433054598,0.9999366543205709
BOSS,11.bmp,LSB,50184,0.0952911376953125,58.340278487814544,0.9993933996302903
BOSS,11.bmp,ADAPT_GRADIENT,50184,0.09590911865234375,58.31220460765752,0.9998664446928781
BOSS,12.bmp,LSB,50184,0.0958099365234375,58.31669808433261,0.9992563340613123
BOSS,12.bmp,ADAPT_GRADIENT,50184,0.09585952758789062,58.31445076484182,0.999768639253269
BOSS,13.bmp,LSB,50184,0.0955963134765625,58.3263921616144,0.9995094656250072
BOSS,13.bmp,ADAPT_GRADIENT,50184,0.09604644775390625,58.305990536109064,0.9998741822751149
BOSS,14.bmp,LSB,50184,0.09600067138671875,58.30806090552013,0.9990037119586086
BOSS,14.bmp,ADAPT_GRADIENT,50184,0.09560394287109375,58.32604557170807,0.9997085448557075
BOSS,15.bmp,LSB,50184,0.09546661376953125,58.33228842590096,0.9990735184578491
BOSS,15.bmp,ADAPT_GRADIENT,50184,0.09550857543945312,58.33037993484857,0.9997587907692643
BOSS,16.bmp,LSB,50184,0.09548187255859375,58.33159433211349,0.9989399474333767
BOSS,16.bmp,ADAPT_GRADIENT,50184,0.096282958984375,58.29530932247475,0.9995756356244675
BOSS,17.bmp,LSB,50184,0.09560775756835938,58.32587228712674,0.9992319198920977
BOSS,17.bmp,ADAPT_GRADIENT,50184,0.09613418579101562,58.30202508471949,0.9998809469297172
BOSS,18.bmp,LSB,50184,0.09543228149414062,58.333850542632284,0.9990669651397471
BOSS,18.bmp,ADAPT_GRADIENT,50184,0.09614181518554688,58.30168043391231,0.9997259078559261
BOSS,19.bmp,LSB,50184,0.09486770629882812,58.35961960485439,0.9993976509186121
BOSS,19.bmp,ADAPT_GRADIENT,50184,0.0957794189453125,58.31808162840899,0.9998930226378523
BOSS,2.bmp,LSB,50184,0.095672607421875,58.322927506608934,0.9987628324367543
BOSS,2.bmp,ADAPT_GRADIENT,50184,0.09553146362304688,58.32933929311379,0.9993676059681935
BOSS,20.bmp,LSB,50184,0.09673690795898438,58.27488159124258,0.9991258301168984
BOSS,20.bmp,ADAPT_GRADIENT,50184,0.09566497802734375,58.32327384775661,0.9996115306458979
BOSS,21.bmp,LSB,50184,0.09521865844726562,58.3435830253906,0.9991596531484982
BOSS,21.bmp,ADAPT_GRADIENT,50184,0.09533309936523438,58.33836648310058,0.9999088443979016
BOSS,22.bmp,LSB,50184,0.09520339965820312,58.344279038023856,0.9993448990168388
BOSS,22.bmp,ADAPT_GRADIENT,50184,0.09555816650390625,58.32812552616307,0.9999215417209113
BOSS,23.bmp,LSB,50184,0.09550094604492188,58.33072687084644,0.9991143183004657
BOSS,23.bmp,ADAPT_GRADIENT,50184,0.09553909301757812,58.32899246794039,0.9999281681461695
BOSS,24.bmp,LSB,50184,0.0959014892578125,58.31255009469633,0.9990762656430877
BOSS,24.bmp,ADAPT_GRADIENT,50184,0.09609603881835938,58.303748749140844,0.9996970611763938
BOSS,25.bmp,LSB,50184,0.0956878662109375,58.322234907162596,0.9991732332123022
BOSS,25.bmp,ADAPT_GRADIENT,50184,0.09587478637695312,58.31375951581421,0.9998562009236156
BOSS,26.bmp,LSB,50184,0.095428466796875,58.33402414584695,0.9996675388649576
BOSS,26.bmp,ADAPT_GRADIENT,50184,0.095428466796875,58.33402414584695,0.9998866448740483
BOSS,27.bmp,LSB,50184,0.095672607421875,58.322927506608934,0.9995957821850631
BOSS,27.bmp,ADAPT_GRADIENT,50184,0.095489501953125,58.33124732681435,0.9998796882296158
BOSS,28.bmp,LSB,50184,0.09560775756835938,58.32587228712674,0.9991786588047331
BOSS,28.bmp,ADAPT_GRADIENT,50184,0.09550094604492188,58.33072687084644,0.9997794854958311
BOSS,29.bmp,LSB,50184,0.09563064575195312,58.32483272480971,0.9996337016932129
BOSS,29.bmp,ADAPT_GRADIENT,50184,0.09558486938476562,58.326912098341374,0.9999313116372521
BOSS,3.bmp,LSB,50184,0.09617996215820312,58.29995759002308,0.9993392523078348
BOSS,3.bmp,ADAPT_GRADIENT,50184,0.09592819213867188,58.31134101028368,0.99978539496616
BOSS,30.bmp,LSB,50184,0.09598541259765625,58.308751248045674,0.9992175775392313
BOSS,30.bmp,ADAPT_GRADIENT,50184,0.09587860107421875,58.31358672074708,0.9998687062530703
BOSS,31.bmp,LSB,50184,0.09503936767578125,58.35176822707144,0.9993187491467078
BOSS,31.bmp,ADAPT_GRADIENT,50184,0.09588241577148438,58.31341393255478,0.9997831339618892
BOSS,32.bmp,LSB,50184,0.0954437255859375,58.3333297746217,0.9990919796833553
BOSS,32.bmp,ADAPT_GRADIENT,50184,0.09523773193359375,58.34271316642982,0.9997340398536878
BOSS,33.bmp,LSB,50184,0.09595489501953125,58.31013226238882,0.99946786868911
BOSS,33.bmp,ADAPT_GRADIENT,50184,0.0954132080078125,58.334718628109414,0.9999372766228978
BOSS,34.bmp,LSB,50184,0.09513092041015625,58.34758662217257,0.9992723912061183
BOSS,34.bmp,ADAPT_GRADIENT,50184,0.09566497802734375,58.32327384775661,0.999827203044404
BOSS,35.bmp,LSB,50184,0.09622573852539062,58.297891079106236,0.9993176352178045
